0	0.08836,0.07276,0.08083,0.44192,0.91213,0.49439,0.54411,0.99634,0.14622,0.00232
1	0.66781,0.73505,0.40344,0.28926,0.58416,0.51154,0.17810,0.99556,0.56654,0.66553
2	0.94887,0.25011,0.34255,0.43975,0.03729,0.09561,0.28076,0.11187,0.43085,0.03874
3	0.55823,0.40912,0.56477,0.83736,0.08291,0.97267,0.09807,0.11926,0.78675,0.07219
4	0.89746,0.18105,0.20141,0.91556,0.71855,0.89223,0.92445,0.32767,0.58753,0.29542
5	0.33029,0.67918,0.89717,0.80487,0.75516,0.19905,0.13437,0.03760,0.97465,0.05315
6	0.83606,0.32791,0.68950,0.67297,0.75775,0.34842,0.72384,0.54542,0.36364,0.10834
7	0.42866,0.12484,0.07873,0.62825,0.98260,0.81750,0.96010,0.06091,0.85271,0.33005
8	0.19715,0.40399,0.86631,0.15512,0.67058,0.89532,0.97856,0.37239,0.88580,0.12366
9	0.04727,0.33456,0.48097,0.89897,0.36344,0.96317,0.54790,0.66939,0.46151,0.56954
10	0.39089,0.04973,0.32020,0.23366,0.53659,0.11718,0.94729,0.46382,0.37397,0.88152
11	0.36545,0.06853,0.97170,0.74174,0.96153,0.64332,0.03500,0.47665,0.89797,0.96955
12	0.08821,0.73108,0.31035,0.41012,0.91318,0.97744,0.85535,0.07433,0.05759,0.76027
13	0.77821,0.78702,0.08839,0.73938,0.52242,0.60556,0.91951,0.48200,0.73905,0.37066
14	0.77088,0.28234,0.09925,0.82534,0.97715,0.57553,0.40010,0.60910,0.21390,0.88696
15	0.53892,0.91712,0.73339,0.77951,0.98546,0.95744,0.29906,0.87654,0.60119,0.61407
16	0.97430,0.74909,0.67218,0.04562,0.27702,0.24724,0.93413,0.06383,0.73712,0.83498
17	0.61052,0.19237,0.71908,0.89410,0.18978,0.92244,0.02574,0.01135,0.91319,0.44822
18	0.19971,0.19397,0.48365,0.79252,0.52571,0.51127,0.94051,0.69995,0.61336,0.09048
19	0.82581,0.23070,0.12445,0.48751,0.71032,0.76863,0.03829,0.11727,0.32013,0.88201
20	0.71093,0.18118,0.67578,0.21256,0.46531,0.11885,0.90598,0.01206,0.52938,0.81475
21	0.34293,0.47973,0.13535,0.34012,0.99899,0.06870,0.57291,0.43913,0.69502,0.23061
22	0.30576,0.46276,0.98355,0.77887,0.00085,0.00334,0.00490,0.07084,0.21056,0.83998
23	0.38282,0.17784,0.29072,0.26136,0.82568,0.74788,0.05567,0.48791,0.84108,0.68468
24	0.57782,0.75525,0.75738,0.43939,0.91499,0.31179,0.07707,0.53007,0.65160,0.01605
25	0.56106,0.45446,0.22817,0.16818,0.52554,0.28579,0.49954,0.26489,0.99935,0.37187
26	0.25431,0.81822,0.78939,0.50485,0.41413,0.30513,0.88857,0.20232,0.55025,0.12361
27	0.73428,0.66996,0.13278,0.97232,0.36582,0.96151,0.39608,0.02467,0.19409,0.19039
28	0.34502,0.47299,0.16097,0.77570,0.64868,0.60468,0.45726,0.08635,0.25143,0.18810
29	0.90142,0.95570,0.93486,0.84077,0.81777,0.92078,0.66381,0.25488,0.84044,0.09795
30	0.15704,0.76544,0.07421,0.32202,0.24474,0.19560,0.45870,0.61816,0.97289,0.00219
31	0.86206,0.32192,0.19407,0.78703,0.32828,0.13382,0.17525,0.24867,0.11111,0.85308
32	0.57886,0.24037,0.65203,0.18054,0.39661,0.32794,0.52464,0.14842,0.76156,0.06447
33	0.54400,0.22573,0.90636,0.43238,0.68977,0.91125,0.03445,0.33746,0.59576,0.26809
34	0.76462,0.03332,0.10995,0.63413,0.55204,0.17555,0.77316,0.88734,0.20730,0.86057
35	0.34912,0.55948,0.43580,0.54171,0.39375,0.21820,0.02120,0.17736,0.00795,0.55323
36	0.53634,0.56349,0.77538,0.16693,0.03893,0.41132,0.46865,0.61232,0.10949,0.57617
37	0.12383,0.09064,0.57959,0.14979,0.68222,0.13043,0.18661,0.98874,0.14019,0.22805
38	0.70175,0.90783,0.38218,0.48302,0.07241,0.55373,0.75453,0.73172,0.77927,0.61188
39	0.35352,0.14180,0.25197,0.12993,0.92864,0.76754,0.95308,0.11671,0.29898,0.41886
40	0.99976,0.74556,0.79640,0.43812,0.76521,0.34896,0.14969,0.20463,0.63870,0.53161
41	0.32309,0.44726,0.96486,0.39758,0.12324,0.43733,0.18411,0.42198,0.72903,0.25982
42	0.91790,0.72869,0.62244,0.05021,0.07771,0.20734,0.84372,0.82534,0.49964,0.77533
43	0.77860,0.43827,0.38118,0.80652,0.75362,0.74149,0.69650,0.23749,0.94086,0.20606
44	0.46613,0.83051,0.80832,0.32856,0.97748,0.86472,0.84787,0.10451,0.01448,0.95617
45	0.94868,0.30134,0.14570,0.81301,0.68719,0.21390,0.20272,0.51985,0.42060,0.24699
46	0.97693,0.15037,0.61522,0.39539,0.12371,0.60867,0.10685,0.27522,0.70842,0.80418
47	0.81581,0.34598,0.20571,0.89618,0.94727,0.41447,0.90273,0.36588,0.55813,0.00523
48	0.84377,0.64597,0.56000,0.29283,0.09744,0.11744,0.03651,0.72899,0.68925,0.12549
49	0.39078,0.68428,0.04311,0.85961,0.10572,0.38311,0.26253,0.12056,0.80763,0.57283
50	0.32093,0.72862,0.94593,0.57179,0.16810,0.56996,0.50821,0.08759,0.30268,0.94314
51	0.89961,0.99249,0.11445,0.17427,0.46528,0.31653,0.99396,0.02928,0.38898,0.76868
52	0.06045,0.60947,0.08406,0.09697,0.89698,0.03130,0.21909,0.75844,0.58411,0.02418
53	0.59505,0.71830,0.17718,0.70007,0.27282,0.10473,0.30002,0.14577,0.20761,0.10100
54	0.51894,0.28971,0.89922,0.37357,0.02881,0.95545,0.27994,0.59725,0.25602,0.62803
55	0.11079,0.61539,0.06751,0.08107,0.61086,0.75347,0.02068,0.38582,0.24446,0.37102
56	0.25367,0.14660,0.52726,0.03577,0.24904,0.65824,0.38600,0.37730,0.68569,0.80378
57	0.02638,0.76170,0.53800,0.74403,0.25052,0.88450,0.85979,0.12143,0.08945,0.70806
58	0.87505,0.11692,0.80194,0.83480,0.30059,0.71829,0.42472,0.91947,0.81081,0.39230
59	0.36876,0.37584,0.33795,0.62121,0.98539,0.28031,0.54034,0.07040,0.42861,0.60862
60	0.42969,0.11028,0.67721,0.18833,0.44405,0.91431,0.93264,0.53588,0.59665,0.50993
61	0.87703,0.32358,0.52758,0.80973,0.75121,0.24866,0.49841,0.34306,0.96532,0.84867
62	0.63516,0.95019,0.46408,0.86725,0.91792,0.94657,0.94603,0.97717,0.26997,0.39099
63	0.84803,0.44103,0.76855,0.37410,0.68007,0.48842,0.57313,0.70795,0.47054,0.40839
64	0.37013,0.09171,0.59179,0.25433,0.98860,0.88037,0.59591,0.21789,0.45071,0.62615
65	0.26060,0.73615,0.46869,0.21964,0.04521,0.73451,0.01125,0.10966,0.28660,0.88649
66	0.21225,0.19710,0.51243,0.08959,0.84336,0.69042,0.59506,0.45064,0.41719,0.65919
67	0.69379,0.89012,0.99439,0.38783,0.63352,0.42084,0.97846,0.15735,0.38479,0.11294
68	0.30847,0.13341,0.07814,0.67889,0.16567,0.61083,0.30908,0.44191,0.99022,0.28676
69	0.73563,0.58785,0.09013,0.15754,0.01622,0.37518,0.40343,0.24894,0.82337,0.07681
70	0.14076,0.23124,0.24199,0.81288,0.96413,0.63019,0.65353,0.34525,0.52121,0.80395
71	0.25034,0.32865,0.94984,0.30597,0.97615,0.66056,0.38156,0.39311,0.83994,0.34778
72	0.04182,0.47323,0.33240,0.86143,0.15514,0.52901,0.94637,0.91776,0.60256,0.53665
73	0.10435,0.99101,0.31302,0.35090,0.14676,0.54370,0.69281,0.91106,0.33686,0.66743
74	0.33204,0.95365,0.88348,0.03717,0.34207,0.33700,0.39211,0.27898,0.09428,0.10705
75	0.55977,0.36696,0.05498,0.34751,0.99057,0.77883,0.29973,0.38476,0.23761,0.40067
76	0.74255,0.85736,0.40603,0.28972,0.28288,0.20807,0.01796,0.09322,0.79093,0.85420
77	0.85893,0.40562,0.27780,0.08617,0.18097,0.05077,0.07058,0.60803,0.11320,0.12388
78	0.59248,0.29406,0.08242,0.25122,0.79193,0.03749,0.60332,0.11319,0.25204,0.90721
79	0.15405,0.18147,0.91282,0.34026,0.42779,0.16323,0.63782,0.55494,0.81323,0.30828
80	0.61936,0.20955,0.80303,0.83902,0.54787,0.74440,0.99902,0.00740,0.36100,0.27179
81	0.72093,0.48963,0.73840,0.72827,0.87356,0.25281,0.47628,0.27936,0.03855,0.00749
82	0.85392,0.64073,0.92764,0.72372,0.18938,0.89524,0.22501,0.18842,0.51893,0.22333
83	0.47779,0.25071,0.58636,0.85676,0.94832,0.81442,0.29982,0.46985,0.51534,0.21443
